"","mission.corp6"
"472948707 2017","ozarks new hopes mission   support healthy initiatives  inspire hope  wellness   less fortunate   communities"
"472957324 2016"," improve  quality  life   communities   live  work support  charlottesville dogwood festival  help individuals  families  need promote leadership education  community involvement among  area youth enhance  beauty   community  promoting  planting  dogwood trees"
"472962679 2017","uceus's mission   foster  international relationships   youth  countries  around  world   philanthropic organization committed  cultural exchange community service leadership development  cultural experiences"
"472967648 2016","homeless"
"472970156 2016","ecc ministry exists   purpose  furthering  kingdom  god  equipping  church thruogh worship teaching  service    emphasis  latin america"
"472972162 2016"," provide  safe friendly environment   people   community can come  enjoy dancing   social events"
"472972917 2015","teaching missionaries    missionaries"
"472991671 2017"," mission   drew lewis foundation  building strong  sustainable communities  engaging  connecting families  services resources  opportunities  provide continued support  empower families  lift    poverty  transform  lives  communities"
"472993623 2016","alumns  campus fairnes acf   501_c_3   profit corporation  organizes alumni  fight anti-semitism   infecting university  college campuses   guise  anti-israel activism   promote open  fair dialogue  college  university campuses regarding  long standing arab israel conflict"
"472998849 2017"," educate  public   disease  addiction  consequence  untreated addiction   process  recovery"
"472999678 2016"," support  maintain  wildlife sanctuary  resident  migrator wildlife primarily horses  placitas  adjacent lands"
"473007704 2017","corner  corner   christian nonprofit  exists  extend hope  every corner   community"
"473010424 2016","enhancing  health  wellness   communities  charitable giving"
"473010424 2015","enhancing  health  wellness   communities  charitable giving"
"473026162 2016"," organization's mission   promote support  advance public appreciation   arts culture  civic initiatives   develop  manage properties dedicated  culture   advancement  artistic practices  artists   transformation  communities  support  arts promote protec  maintain works  art   legacy  artists  make distributions  organizations  qualify  exempt organizations"
"473037260 2017","residential program ofering help  adults  developmental learning  autism spectrum disabilities achieve  highest potential  social vocational  indepentent living skills"
"473044689 2016"," reach audiences   kingdom  making great film  television   developing professionally competent  biblically discipled storytellers"
"473048651 2016","   mission  camp hope-heartland  support families living    beyond  cancer experience"
"473048651 2015","   mission  camp hope  provide  normal active  safe camp experience  children can celebrate life    beyond  diagnosis  cancer"
"473049231 2016","rise  care innovates  inverts  traditional international charity model multiplying  effectiveness  donations  transforming  lives  young people"
"473051354 2017","provide peace  mind  senior citizens  can  longer care   pets due  going  hospice nursing home  medical situatio  provide pet food  area food banks  individuals"
"473053663 2015","swag custom rides   first   automotive custom restoration non-profit shop  america swag restores customizes  fabricates vehicles  two missions  mind restoring vehicles  transforming lives   team  leading industry professionals swag provides job training education  life skills  troubled individuals recovering  life-controlling problems"
"473075350 2015","none"
"473097023 2017"," mission provides personal care  support around multiple needs   reintegration healthcare employment education family  caregiver support legal aid housing transportation community engagement  local fitness arts  recreation resources"
"473108951 2016"," purpose  s.o.u.l sisters   create encourage  promote leadership development  social entreprneurship programs  traditionally invisible  discarded female leaders throughout high school   college"
"473110208 2015","supports  organizations"
"473118388 2017"," supply needs  families  children   sick  hospitalized"
"473119340 2015","lacrosse club  children  enhance lacrosse  children"
"473126436 2017","code rgv creates tech entrepreneurs  skilled professionals  local jobs  educating promoting  certifying professionals  nonprofit strives  promote community participation  collaboration  invigorate creativity innovation   local economy"
"473128387 2017"," raise funds  children  others   need arises   ellis county community   faced  life threatening disease  life altering injury due  accident"
"473156339 2017"," raise money  fund research  cure alzheimer's disease"
"473158402 2017"," assist people   construct  lives  become  economically  socially advanced  activities events  programs  combine training information  fun    live  healthy  productive lifestyle"
"473168206 2015","organized exclusively  raising funds  distributing  organizations  qualify  exempt organizations  501_c_3   internal revenue code   corresponding section   future federal tax code"
"473168362 2017","improve conditions   underserved community  providing programs  services  mental health physical health  financial health"
"473191223 2016","provide  stimulating learning experience   privilege youth   clean safe  healthy environment  promoting mutual respect  trust  parents  teachers"
"473191800 2016"," provide peer recovery support"
"473201619 2017"," mustang outreach program aims  touch  hearts  minds   youth   time  many schools  finding  cultural arts program budgets slashed    working towards strengthening  program  talented local regional  national musicians will work   perform   local students  broaden  cultural horizons.with  help  local businesses  industry professionals  program  already begun reaching heights    currituck  dare county students   dreamed"
"473210253 2016","committed  saving dogs regardless  breed age  physical ability"
"473210620 2015"," babe ruth baseball softball program using regulation competitive baseball  softball rules teaches skills mental  physical development  respect   rules   game  basic ideals  sportsmanship  fair play   aspects babe ruth league inc  committed  providing  participants   best educational sports experience possible    fundamental belief  every child   desire  play baseball  softball  afforded  opportunity"
"473219459 2016","promotes  growth  women's hockey providing long-range support   nwhl"
"473225170 2016"," organization's mission   provide financial assistance   needy  othernon-profit organizations"
"473225789 2017"," reduce  homeless pet population  rescue education  outreach"
"473227605 2017"," build  community  people"
"473239803 2015"," organization  committed  providing community service  gives availability  aid  off-track youths  homeless  disabled indiviuals"
"473242187 2017"," mission   reach young children  teach   arts eduction music dance  entreprenualship"
"473249071 2016","increased awareness  understanding  indigenous persons  facilitating information sharing  education"
"473257947 2017"," provide resources  education  improve  health  wellness  employees  volusia  flagler counties"
"473264705 2015"," support  promote"
"473266482 2016"," mission   action mobility foundation   partially fund  action trackchair  action trackstander  people  mobility  financial needs"
"473269569 2016"," offer  competitive  experience-rich environment  young water polo players"
"473274539 2015"," promote  interests   stanislaus coe   students  clients thereof mode  manner  include  stanislaus coe educational programs  stanislaus coe directly operated unincorporated charter schools   jpa  stanislaus coe  affiliated "
"473275522 2016"," conduct  mardi gras parade  slidell louisiana   support  public charities"
"473280791 2016","training  education  developmentally disadvantaged individuals"
"473285813 2016"," better world   media organization   committed   creative fulfillment  human potential seeking  cultivate  holistic creative  compassionate perspective   media workshops  trainings  holistic thinking  quantum awareness"
"473286543 2016"," improve health  underprivileged"
"473287245 2017","learn build fly   organization promoting aviation  stem skills"
"473287331 2016"," mission   organization   assist leaders   local church   communities   strive  transform  lives  impoverished children  families   hope   gospel  jesus christ"
"473295637 2016","brian duensing foundation provides hope  support  families battling cancer  serious illness"
"473316489 2015"," maintain  operate  public memorial library"
"473316489 2016"," maintain  operate  public historical memorial library"
"473316489 2017"," maintain  operate  public historical memorial library museum"
"473319632 2016","idaho crush  dedicated  teaching  instructing young people    successful playing  sport  volleyball competing   highest levels  club volleyball"
"473332326 2015","proclaim  gospel  jesus christ"
"473333029 2015","providing hunting opportunities  people"
"473341292 2017"," give equal  unbiased opportunity     citizens regardless  race culture age gender  economic status   preserve  rural community"
"473341435 2016"," provide opportunties   privilaged kids  play youth sports"
"473345596 2016"," build discipline  healthy bodies  mind  young children"
"473360048 2016"," healthy school food collaborative works   summer food service program sfsp   child  adult care food program cacfp  provide free  school  summer meals  low income children 18    school   session"
"473361628 2016"," veterans non-profit's mission"
"473361628 2015"," veterans non-profit's mission   provide services"
"473378631 2017","ibd horizons  focused  providing scientific education related   diagnosis management  advancement  knowledge regarding irritable bowel disease  provide accredited educational symposia  disseminate information  medical providers  researchers"
"473382204 2017"," provide support  children  homicide victims  victims  violent crimes  providing support   form  sporting activities peer mentoring tutoring  therapy"
"473390644 2015"," organization raises funds  support educational institutions  educate children  adults  kindergarten  undergraduate studies  beitar israel also provides support services housing assistance free loan funds   needy families  beitar israel"
"473392405 2015"," promote  enhance jewish scholarship  values   desemination  weekly newsletters online information  books"
"473398323 2016","oceans ministries seeks  come alongside individuals  help  fulfill  god-given potential  using  founder's book dvd  weekly blog  enable   come   realization  god  father loves   may include counseling  help forgive    others oceans ministries also provides mission trips  lesotho africa"
"473400856 2016","designed  bring pride   feeder schools  community  work  parents coaches teachers administrators  provide kids  opportunities   good students athletes  community members"
"473403988 2016","uossm usa's mission   support  health-related needs  well-being  people  communities affected  crises regardless  political affiliation religion nationality ethnicity  gender uossm usa  dedicated  building sustainable health-related services  reducing human suffering"
"473414055 2017","lincoln soccer association magellan soccer club   youth soccer club  lincoln ne  focus   individual development  players   exclusive focused  fun curriculum serving ages 4  19 magellan soccer focuses   individual development  well-rounded soccer players   proven curriculum based  national  international training methods  club provides multiple levels  soccer education   fun  family-oriented environment  recreational local options  advanced regional national opportunities"
"473415820 2016","provide youth soccer training"
"473416413 2015"," assist   need  help recovering   disease  addiction providing individualized care  clients"
"473424205 2017","fostering foster animal rescue   volunteer based nonprofit   dedicated  rescuing animals primarily dogs    southern kill shelters     desperate need  help  know  spay  neuter  one way  reduce  number  animals  death row  shelters  primarily collaborate  northern rescues shelters  animal leagues  save  many lives  possible"
"473429413 2016","placement  unwanted animals"
"473430023 2016","foster-based rescue dedicated  "
"473430023 2015","none"
"473431539 2017","none"
"473441374 2016","non-profit corporation  operates  sacramento comedy spot improv marathon stand-up competition comedy festival  northern californias largest comedy school.our mission   make sacramento laugh every day  goals   attract people  sacramento   bring happiness  everyone  kids  adults  comedy education shows  special events"
"473442726 2016"," specific purpose   corporation   share  love  jesus christ  people   third world countries  providing means  help    self sufficient"
"473459963 2016"," offer women  need  hope  christ support   transforming  lives  help  get   wilkens avenue   professional detox center safe housing  thriving lives"
"473461777 2016"," women's center  creative work   volunteer-run not-for-profit organization  donations help us pay rent   work center support  artists  residence  continue  provide free  low cost programming   community  creative professional women  los angeles"
"473466416 2015","maintain  operate  museum  town  franklin delaware county"
"473470087 2017"," partnerships  local agencies justice rising international serves  build schools  under-served war-affected regions thereby providing access  schools  quality education"
"473473611 2015","encourage physical exercise  good citizenship"
"473479109 2016"," work  education  empowerment programs   sikh community"
"473491312 2015"," perform random acts  good   mountain view area  sometimes   state"
"473491312 2017","mountain view firefighters random acts   501_c_3 charity created  dedicated firefighters   mountain view fire department  truly believe  individuals can make  difference   community  purpose   perform random acts  good   mountain view area  sometimes   state often  firefighters respond  calls  help  observe situations  people need  helping hand  something  will improve  quality  life  look  opportunities  compassionately meet  needs  people  make  difference   random acts  kindness"
"473492306 2016"," help neighborhoods  solutions  solving  problems  "
"473495821 2015"," share  christian faith  pairing individuals churches "
"473497796 2017"," provide financial assistance   employee spouse  child   palm beach county"
"473498605 2017"," support maricopa county animal care  control  providing  best possible outcomes   shelter animals"
"473499843 2017"," fund's mission   raise money  donate  cancer research   scholarship fund   university  louisville"
"473511005 2017","dedicated   rescue  rehabilitation  dogs    risk  euthanasia due  overpopulation      danger  abuse  neglect"
"473515841 2017","refugee development center provides post settlement services  refugee communities"
"473520181 2017"," enhance  community  serve  charitable contributions grants  programming initiatives aimed  supporting families  children   areas  education good health  community service activities"
"473533577 2017","provide  teens  ability  build self-confidence integrity   leadership qualities needed  become proud responsible  productive adults"
"473548839 2017"," assist parents  quardians  children   mental illness  better"
"473550317 2016"," mission   instill  young people repect  good sportsmanship competitiveness cooperation teamwork  high moral character  shooting sports competition"
"473554614 2016","launch coordinates activities   religious education classes social groups  parental support  children  disabilities   families"
"473556575 2016","providing nbsp meals nbsp  nbsp underprivileged nbsp youth"
"473559712 2015"," raise funds  needed families  suffer financial hardship due   cost  effects   medical condition known  eosinophilic esophagaitis  promote  awareness  research"
"473574238 2017"," provide  community   learning tools  adapt  american life style.to enhance  community  members  understand living  america"
"473579570 2016"," organization conducts alternative cancer care  research   needy  hopeless   forgotten stricken   deadly disease"
"473579570 2015"," organization will conduct charitable  scientific activities provide cancer care  research   needy"
"473595671 2016","nwa domestic violence emergency services   nonprofit 501_c_3 organization  supports victims  domestic violence  mission   focus  empowering victims  perpetrators   ready    cycle  abuse   lives  building community engagement  advocating  social change  stop  violence  purple ribbon thrift store  donation center provides victims  clothing household items  essentials  purple ribbon food pantry   way  provide food   victims  need  also open    public every monday  support feeding  hungry   community assistance programs include safety planning risk assessment crisis intervention emergency care kits mentorship  job assistance  variety  additional ongoing support  self-care activities  provided"
"473596045 2017","good nutrition   building block  proper development  strengthens  immune system enhances cognitive  physical development  increases concentration  school"
"473606121 2016"," provide chemotherapy patients  wigs  low   cost"
"473611429 2016"," center  islamophobia studies"
"473613490 2017"," organization  taken   responsibility  restoring  historic schine's theater  ashland ohio   original condition  theater  expected   returned   single screen  stage venue  intended   first opened march 27 1942"
"473626928 2015","wild animal preservation fund inc provides worldwide relief  aid  lessen animal suffering  malnutrition  disease  redirecting food waste   materials currently  disposed   landfills thereby reducing potent greenhouse gases   accomplished  establishing food distribution  feeding activities  animals throughout  state  arizona  medical supplies distribution  foreign countries"
"473649523 2016"," promote  health well-being  welfare  humans animals  nature  mutually beneficial relationships"
"473652332 2015"," organization  dedicated  providing world relief  reducing human suffering   result  hunger poverty disease war natural disasters   circumstances creating widespread human need  engage  feeding  food distribution activities  charitable classes  persons throughout  state  arizona  united_states  appropriate foreign countries"
"473660577 2017"," new hope cdcs mission   educate  empower participants  mentoring  community development  promoting  healthy spirit"
"473660577 2016"," new hope cdcs mission   educate  empower program participants  mentoring  community development  promoting  healthy spirit"
"473673133 2015"," give concerts  educational events"
"473685301 2016"," maintence  management  small local cementary"
"473689363 2015"," organizations purpose   protect  animals  abuse neglect homelessness  abandonment"
"473700489 2016","provide organizational fundraising  coordinating efforts  build  memorial  fallen warriors u.s service members  families     supported  nation's longest war   national mall  washington d.c"
"473700555 2017","clean creeks  san jose ca  allow salmon    spawn   creeks"
"473708109 2016"," provide  permanent safe haven  senior dogs   unable  receive proper care    abandoned abused  face euthanasia  senior dog sanctuary's purpose   educate  public   plight  unwanted senior dogs  give  creatures  opportunity   safe  peaceful home   remaining years"
"473711663 2016","provide area citizens  safe affordable rental housing"
"473717716 2014"," mission   new mexico center  school leadership  center   develop high schools  educational leaders  input   people      stake   success   educational system students  families community members  employers"
"473722893 2016"," rescue dogs  cats finding  good home  "
"473730024 2016"," arc  west central colorado promotes  protects  rights  people  intellectual  developmental disabilities"
"473731222 2016","bacon bash organizes activites  raise funds  provide dexcom continuous glucose monitors  diabetes camp scholarships  children  type 1 diabetes  organization also supports type 1 diabetes research  contributing   juvenile diabetes research foundation  addition  raising funds  diabetes research  related grants  organization hosts  coat  blanket drive  also raises funds  support niki warms  cold  purchase additional coats blankets   warm winter gear  distribute  homeless people across texas"
"473734485 2015","miami  kind foundation employs autistic adults  sell baked goods"
"473741005 2017"," organization's mission   provide humanitarian aid    need"
"473741716 2017"," future foundation mission   empower youth  future adults 13-21   families  comprehensive social justice advocacy community organizing  resource development skills  improve  future"
"473751617 2015","environmental  educational organization dedicated   preservation  kent county md  industrial  commercial development  prime farm acreage saving  countys rural character  heritage preserving  history providing refuge  wildlife   right   citizens  live  peace  enjoy  property"
"473756396 2015","supporting educational needs  fort allen elementary school"
"473758041 2017"," restore purposeful living  women  recovery  drug  alcohol addiction"
"473761436 2017"," will mentorship foundation iwmf empowers youth  make positive life choices  community-based mentoring  intensive evidence-based programs focused  increasing academic achievement decreasing youth criminal activity  strengthening  family structure"
"473764389 2015","providing cancer patients  financial assistance  expenses    result  treatment limitations   gas card assistance prescription co-pays  incontinence supplies"
"473766212 2016"," educate  public regarding meditation"
"473766606 2017","mansion memories  dedicated  serving children  crisis   families  providing happy memories  will last  lifetime  goal   create valuable moments   magical events   cost   families   midst  illness loss  hardship"
"473766842 2017"," modern inclusive social change organization working  protect promote  advance  civil  human rights   people founded  2015  emerging faith leaders  atlanta mfi provides "
"473769023 2015"," provide teaching   worship experience   community  believers   city  orlando fl"
"473770036 2016","house  prayer  spiritual guidance"
"473772852 2016"," promote  support teenage social civic  community volunteerism   values exemplified   life  sean kehler"
"473772852 2015"," promote education  granting scholorship"
"473778781 2015"," help underpriveleged children"
"473791968 2015"," provide low cost access  quality pharmacy services  underserved populations primarily native americans   albuquerque new mexico metropolitan area"
"473796055 2016","stairways programming   housing first harm reduction evidence based transitional  supportive housing facility  mission   transition people diagnosed  severe mental illness back  independent living stairways programming belives   keeping people housed  supporting   setbacks  issues  may arise  can stop  repetitive cycle  homelessness  hospitalizations"
"473799558 2016"," specific purpose   corporation   provide charitable literary  educational programs   health  well    lesbian gay bisexual transgender family friends  allies  cummunity  connecting   essential resources  support services   accomplished    limited   recruitment  volunteers  community outreach counceling training advocacy  outreach   churches  community"
"473824775 2017"," assist  burdened single parents  housing transportation  job  business creation  offering zero interest loans   can improve  quality  life     children"
"473828167 2016","mexiquenses en texas principal mission   economic support  legal  imigration fees   unites states  america  mexiquenses citizens  children born  usa  mexiquense's parents"
"473828167 2017","mexiquenses en texas principal mission   economic support  legal  imigration fees   unites states  america  mexiquenses citizens  children born  usa  mexiquenses parents"
"473831544 2016","nate parker foundation inc core programs leverage film  philanthropy  transform  quality  black lives  education social justice  economic empowerment"
"473840489 2016"," aid  poor  housing  relief"
"473840489 2015"," aid  poor  housing   relief"
"473853162 2015"," advance  charitable  educational interest   community"
"473854287 2015"," corporation   nonprofit public benefit corporation   purpose   provide charitable assistance  improverished people  mexico"
"473854287 2016"," corporation   nonprofit public benefit corporation   purpose   provide charitable assistance  impoverished people  mexico"
"473854323 2017"," provide  sustainable well balanced life    gods children   earth   heaven  organization support's local schools  provides  basic needs  children   clothes shelter  nutrition  organization  empowered  serve  help  community   global organizations  organization  strictly  organization  wishes  bring together ordinary people  acheive extraordinary things"
"473857900 2017"," provide supplies  support  local law enforcement k9 units"
"473862361 2015","help slum area camps  parts  bangladesh pakistan  west africa  empowering education providining  ensuring sustainability  protect  communities health environment"
"473864997 2016","empower veterans  educational programs  personal development raise public awareness   veteran suicide epidemic provide  community  support  veterans service members   families support families affected  veteran suicide"
"473867940 2017","working nbsp together nbsp  nbsp families nbsp  nbsp communities nbsp  nbsp children nbsp  nbsp help nbsp keep nbsp  nbsp healthy nbsp safe nbsp smart nbsp  nbsp strong"
"473880391 2016"," establish  operate  meditation center"
"473886762 2016"," provide financial support  missionaries   religious organizations"
"473892053 2016"," prevocational training"
"473895143 2016","ess nbsp will nbsp offer nbsp  nbsp  nbsp temporary nbsp relief nbsp   nbsp support nbsp services nbsp  nbsp elderly nbsp  nbsp disabled nbsp young nbsp  nbsp adults nbsp throughout nbsp  nbsp nation nbsp  nbsp international nbsp  nbsp possible nbsp  nbsp applicable nbsp  nbsp funds nbsp  nbsp available nbsp  nbsp fundraising"
"473898503 2017","promotion  amateur sports specifically lacrosse  high school students"
"473910260 2015"," mission   support  reconstruction  development  villages  thame valley solukhumbu district nepal following  earthquakes  2015   culturally sensitive  sustainable manner"
"473915085 2017","leavenworth interfaith community  hope   non-profit corporation  provides services  leavenworth lansing area residents  community  hope connects clients  services  need  creating  safe place  belonging  everyone services   need based   available  anyone  community  hope  comprised  welcome central   shelter  hope  late 2016  facility acquisition team recommended new construction  combine welcome central  shelter  hope   new day center  capital campaign  construction   6,000 sq ft building occurred  2017   opened  2018"
"473930408 2017"," corporation puts  acutal practice  teachings  work  jesus christ  lord  savior  lift   name  jesus   spread  gospel  jesus christ  give  provide  individuals    need   way  witness   love  christ   assist  nonprofit organizations   related missions"
"473934422 2015"," organizations mission   support  community  getting aligned   destiny purpose     way  ifa-orisa  ancestral practices"
"473936652 2016"," provide healthcare navigation services  improving access  healthcare coverage  healthcare services  reduce health disparities  underserved  vulnerable communities"
"473938219 2015","support missionary works"
"473947913 2015",""
"473948973 2016","provides psychosocial support  refugee populations   unted states train psychology  social work students  learn  provide psychosocial support  refugees educate  trauma  trauma recovery"
"473957974 2016"," purpose   organization   solicit charitable donations make donations  various charitable organizations  provide scholarships  local school children   organization shall determine  association will operate within  meaning  irc section 501_c_3"
"473961191 2015"," support homeless victims  domestic violence human trafficing poverty mental health  addiction  providing expensive  much needed new  garments  feminine hygiene products"
"473964152 2016","organization  conducts testing   public  hiv non profit organization  pagenats"
"473991175 2017"," organization  established  many requests  families  private individuals    urgent need  help one   objectives     place     able can give  donations knowing    investigated   truly needy  organization prepares  plan  economic assistance  rehabilitation   applicants    ascertain   circumstances warrant   deal   following issues 1 financing medical treatment 2 providing medicine     unable  pay    3 payment  debts especially mortgages   people  lose  homes 4 assistance  weddings   special occasions 5 assistance  tuition payments 6 assistance  purchasing basic food necessities 7 medical assistance  fertility treatments 8 psychological treatment 9 financial assistance  couples  family therapy"
"473996704 2015","cultivate public interest  asian culture via film"
"473998032 2017"," recruit professional individuals  understand  psychosocial factors play  significant role   health  well    patients    willing  develop  implementmuch    assessment  treatment  management plan"
"474001999 2017"," evanston animal shelter  adoption center  committed  providing compassionate  humane care  evanston's abandoned abused  relenquished animals   find  homes  rehabilitation foster care adoption  rescue organizations  aim   serve  community   proactive resource  education counseling  support"
"474007201 2015","helping south korean immigrants  settle   boston massachusetts  korean-american citizens  promoting activities  unity  healthy social relationship  "
"474007990 2017"," corporation   charitable  religious corporation  defined  ncgs 55a-1-40 4  specific purposes   enhance  emotinal social  spiritual well    underserved  improving  access  spiritual guidance basic healthcare  educational opportunities"
"474019721 2016"," facilitate  development  accessory dwelling units  offer   affordable housing option   homeowners  renters creating economically healthy diverse multi-generational communities  protecting  environment  reducing carbon emissions  role   bring public  governmental attention   opportunity  redevelop  existing housing stock  house  changing society   act  champion  guide  homeowners  face obstacles  creating accessory dwelling units"
"474019721 2015"," facilitate  development  second units  offer   affordable housing option   homeowners  renters creating economically healthy diverse multi-generational communities  protecting  environment  reducing carbon emissions  role   bring public  governmental attention   opportunity  redevelop  existing housing stock  house  changing society   act  champion  guide  homeowners  face obstacles  creating second units"
"474019904 2016","encourage  display art   forms"
"474035566 2015","charitable giving"
"474038116 2016","women veterans united committee inc.s purpose   address quality services advocate coordinate raise awareness  provide information  ensure needs  met  women veterans  includes getting quality health care  benefit services information filing claims  programs  women veterans  will serve   advocate   cultural transformation within va veteran service organizations    general public  recognizing  service  contributions   women veterans   women   military raising awareness   responsibility  treat women veterans  dignity  respect throughout including bringing awareness  information   educate  women veterans military contributions"
"474042019 2015"," organization provides financial support  medical first responders educational services   field  medical first response  expertise  traning  medical first response"
"474042132 2016","see attachment 1"
"474044698 2017"," conduct activities  promote  physical fitness strength  rehabilitation  veterans   united_states armed forces   conduct   lawful activities  charitable purpose   non profit public benefit corporate law"
"474047378 2017"," corporation  specifically organized  combat  growing epidemic  heroin  opiate drug abuse  potentially  addictive processes  substances  providing educational medical rehabilitational   various forms  treatment aid  resources  individuals  suffer   addictions   entities engaged  providing education treatment rehabilitation   aid   individuals  purpose   corporation   combat  effects  heroin   addictions  providing aid   opportunities   providing  receiving treatment  part  providing educational  service-work programs  opportunities  patients  treatment clinics training  supplying medical professionals   treatment  care  well  various  educational social  economic opportunities  aid  patients  entities serving   corporation will also inform  public   issues  effects  addiction  provide"
"474048626 2017"," mission   improve  treatment quality  life   long term outlook  children  adults living  hyper igm  research support education  advocacy"
"474052742 2015"," purpose   foundation   raise funds   israeli based erez foundation    mission  rehabilitating victims israeli wounded veterans  israelis wounded  terror attacks  extreme sports activities mostly skiing  snowboarding"
"474053354 2016","provide financial support  school activities"
"474063596 2016","food medical educational care   poor"
"474064583 2017","assisting montessori education  public assitance  various organizations"
"474078353 2016","14th factory foundation   independent 501_c_3 non-profit global artist collective whose mission   create large-scale contemporary art experiences  act  vehicles  social impact"
"474084724 2017"," association  organized  facilitate  long-term growth  development  tennis   provide physical fitness  wellness   sioux city metropolitan area"
"474092232 2015"," organizations purpose   provide education  safety helmets  children  can  afford "
"474095548 2015"," develop philanthropic support   champaign county convention  visitors bureau"
"474095779 2017","raise funds  research  cure cystic fibrosis"
"474096593 2016","  dedicated  supporting  little dogs  shelters    need  medical  behavioral assistance  process   two-fold benefit  provides immediate relief   dog  allows  shelter  divert time  resources   animals hld provides medical care comfort love   safe haven  dogs  need  upon rescue  immediately     animals vetted hld never determines  outcome  diagnosis  relies   skilled trained  excellent dvm's   minor  treatable medical needs  disabilities  placed   loving care  fosters    adopted   serious medically challenged rescues  placed  loving hospice long term foster care   given  place   hld mother house   long  needed"
"474096593 2017","  dedicated  supporting  little dogs  shelters    need  medical  behavioral assistance  provide medical care   safe haven  dogs  need  adoption     place  hospice longterm shelter  end  life care"
"474098581 2015","forever hope agency   non-for-profit organization  mission   provide supportive services  breast cancer patients  elderly veterans   chronic disease core youth advocacy initiatives workforce development  career training"
"474101744 2015"," operation   nonprofit animal adoption service   prevent  cruelty  animals  humanely euthanize animals    adoptable"
"474101744 2016"," van wert county humane society  committed  building  community  responsible pet owners  ending animal cruelty  offering  safe haven  animals  need   attempt   reasonable avenues  return animals   owners  find  forever homes"
"474107414 2016","texas chihuahua rescue  dedicated"
"474107414 2017","texas chihuahua rescue  dedicated  saving  lives   second  euthanized dog"
"474112110 2016","  context   school family  care   educate children experiencing homelessness right alongside children   advantaged backgrounds  believe  unique model   important step toward minimizing  disparity  madison's children  will  amazing benefits  children   groups"
"474119093 2015"," promote fraternity among members  law enforcement agencies   jewish faith   families engage  concerted action   similar fraternal associations  organizations develop goodwill   nassau county community  rendering financial   assistance   purpose  enabling  activities   coporation foundation agency   entity   organized  opersted exclusively   devoted   realization  charitable purposes within  meaning  section 501_c_3   internal revenue code  1986  amended  code"
"474119093 2016","see schedule o"
"474126367 2016"," seek individual  potential  spiritual awakening  provide    information  training  need   expansion   spritual awakening"
"474128221 2017"," bassuk center advances policies  practices  address child youth  family homelessness  america  supports local communities   respond   growing social crisis  connect  support communities around  nation  dedicated people work every day  help families find  housing  services  need  bassuk center  active  local state  federal levels urging continued research  advocacy  bring  day   family  america goes without  decent home.housing  essential  ending homelessness     sufficient every family needs basic supports beyond decent affordable housing food education employment child care transportation health  mental health care trauma-informed care  children's services.after 30 years  research  innovation  local communities   learned   end family homelessness  believe   time  immediate action  end  national tragedy"
"474133944 2015","raise awareness  various species  flora  fauna  may  considered invasive   nuisance  economically  ecologically important species   gulf coast"
"474134920 2016"," mission   raise  manage fund  general public  organizations willing  help underprivileged people  nepal  natural disaster affected area mission rebuild nepal  build 800 transational homes   end  2016  handed   affected families  nepal"
"474146839 2016"," educational corporation  assists  child care  educational support"
"474160815 2017","religious activities"
"474165079 2016"," mission   organization"
"474165470 2017","podari.life makes everything possible  equalize treatment conditions  childhood cancer  russia   former soviet republics    advanced economies  education information assistance direct help  broad dialogue"
"474173416 2016"," mission  special compass   promote success  persons  disabilties  providing assistance  meet  individual needs  independence  recreation  sports   create inclusion awareness   facilitate independent living  full community integration"
"474174935 2017","interest public  study  space"
"474177498 2015","promote recreational soccer"
"474201708 2017"," mission   change  way  care   suffering  live therapeutic music"
"474223169 2017"," preserve historical items  future generations   museum"
"474226180 2017","nazareno church"
"474226180 2016","church"
"474229427 2017"," organization's purpose  charitable  educational  mission   provide  highest standards  competitive softball  girls   local community  program also offers baseball using   mission  standards  includes  highest standards  good sportsmanship social behavior  well  maintain  competitive softball program  girls  meet required qualifications  age specifications  10u 12u 14u 16u  18u teams  promote healthy relationships  players  families opponents  others  may come  contact   mt pleasant drillers"
"474229427 2015"," organization's mission   provide  highest standards  competitive softball  girls   local community  includes  highest standards  good sportsmanship social behavior  well  maintain  competitive softball program  girls  meet required qualifications  age specifications  10u 12u 14u 16u  18u teams  promote healthy relationships  players  families opponents  others  may come  contact   mt pleasant drillers"
"474229427 2016"," organization's purpose  charitable  educational  mission   provide  highest standards ofcompetitive softball  girls   local community  program also offers baseball using   mission  standards  includes  highest standards  good sportsmanship social behavior  well  maintain  competitive softball program  girls  meet required qualifications  age specifications  10u 12u 14u 16u  18u teams  promote healthy relationships  players  families opponents  others  may come  contact   mt pleasant drillers"
"474229560 2016","improve  communtiy  east liverpool  develope  future generations"
"474232067 2017"," primary goal   raise scholarship money  assit children   able  particpate  activities  promote well-being"
"474239397 2016","contribute   cultural enrichment   san gabriel community  creating theatrical experiences   available  people   walks  life colloborating  local businesses donating  local charities  providing multiple outlets  artistic expression  well  educational opportunities"
"474241214 2016"," increase public awareness  support"
"474241576 2016"," distribute charitable contributions  indigent families"
"474243616 2015","fire fighting   ogema area create public awareness   nature  firemen work provide outreach  youth  families   area   work  firemen"
"474263188 2017","charity"
"474267908 2017"," support  promote  arts  musical education  performance   schools"
"474298507 2016","  profit organization dedicated  improving  welfare  domestic animals wildlife   environment  veterinary care education  conservation efforts"
"474298507 2017","   profit organization"
