"","programs.corp6"
"473862361 2017","forgotten people organization fpo works  create  better world   less fortunate  focus   help slum area camps  parts  bangladesh pakistan  west africa  empowering educating providing  ensuring sustainability  protect  communities health  environment jobs will  created   inhabitants  maintain  improve  quality   lives"
"473864997 2016","raise  national level  awareness   veteran suicide epidemic provide resources  military veterans  enhance  quality  life  traditional  non-traditional therapies  transition programs sponsoring veterans  programs   stay  course veterans resources  18 weeks  traditional counseling sponsoring veterans  cerebrum health center  traumatic brain injury  post traumatic stress sponsor veterans  amputations   limitations  adaptive training foundation  physical training sponsor vets  camp valhalla veteran retreat"
"473867940 2017","n "
"473880391 2016","continue ongoing building re-modeling  land upgrades work  county  land use permits continue raising funds  building  program expenses begin offering services   public"
"473886762 2016","payments  website maintenance services provided   believers bible class   auspices   first baptist church  dallas  services  necessary  promote evangelization"
"473892053 2016"," accomplishment    prevocational training program  adults  autism"
"473895143 2016","ess   begun  fundraising activities yet since    start  funds"
"473898503 2017","promotion  amateur sports specifically lacrosse  high school students"
"473910260 2015","facilitated  development  architectural blueprints  earthquake-resilient construction techniques based  locally identified needs  resources  hosted onsite workshops  impart knowledge directly   community"
"473915085 2017"," shelter  hope   overnight facility  provides  safe place  sleep  9 00 pm  7 00  every night   staffed  three part time paid staff positions  70 vounteers  week volunteers work  three-hour shifts  ensure  safety  comfort  overnight guests  shelter provided  228 unduplicated guest stays  2017 although   half   stays   10 nights  less    upward trend   number  guests staying   10 nights"
"473930408 2017"," association offered  retreat location  people  reflect  pray  2017 prior   property sale  also contributed   non profit organizations  strengthen  mission   help   need"
"473934422 2017","itefa ceremony-initiates go  three days  yoruban traditional"
"473934422 2016","itefa cermony-initiates go  three days  yoruban traditional"
"473934422 2015","divinition ifa oracles  used  consult  clients  order "
"473936652 2016"," provide healthcare navigation services  improving access  healthcare coverage  healthcare services  reduce health disparities  underserved  vulnerable communities"
"473938219 2015","planning  support missionary works especially  multi-culturedfamilies  south korea"
"473947913 2016","  organization  help  youth enhance  carrer thru providing  scholorships"
"473948973 2017","psychosocial support  refugee populations   united_states train psychology  social work students  learn  provide psychosocial support  refugees educate  trauma  trauma recovery"
"473957974 2016"," foundation made 32 donations  various local charitable organizations"
"473957974 2017"," foundation made numerous donations  various local charitable organizations"
"473957974 2015"," foundation made 17 donations  various local charitable organizations"
"473961191 2015","provided much needed feminine items   bras underwear  feminine hygiene products  numerous women's shelters throughout  washington metropolitan area"
"473964152 2016","hiv testing"
"473991175 2017","financial assistance  private individuals  families   following medical treatment pharmaceuticals debts especially mortgages   people  lose  homes weddings   special occasions tuition payments purchasing basic food necessities medical assistance  fertility treatments psychological treatment marriage  family therapy"
"473996704 2015","cultivate public interest  asian culture via film"
"473998032 2016","1 comprehensive well child visits evaluation  management  illness disease  injury immunizations 2 developmental hearing  vision screenings routine lab work cervical cancer screening 3 chlamydia screening  women flu vaccinations  adults age 18  older screening  clinical depression  follow-up plan breast cancer screening  adult body mass index assessment"
"473998032 2017","statement 3"
"474001999 2015","rehabilitate foster  provide adoption services  abandoned abused  relenquished animals"
"474007201 2015","providing cultural recreational  educational services  boston korean-americans"
"474007990 2017","accomplishments  2017 spiritual education  emotional support   main purpose"
"474007990 2016","accomplishments  2016 spiritual education  emotional support   main purpose"
"474019721 2015"," fee  service offerings  designed  support homeowners  moving forward  second unit  junior second unit jsu projects   free phone consultation determines    potential   junior second unit  can conduct  on-site feasibility study  visit  home look   area    homeowner hopes  create  junior second unit measure  interior space discuss layout options  review exterior access   homeowner wants  create  traditional second unit  site visit  similar  also includes subsequent consultation   town's planning department  find    special zoning parking hillside flood zone etc  applies   property  may impact   homeowner  allowed    provide  written report  document  findings   homeowner decides  move ahead  create  junior second unit  offer  fixed-price package  services  will support      process  creating  jsu  package includes referrals  sources  financing architects  contractors  well  guidance  bid development   rental process  also provide optional design services  help  homeowner optimize  use  space   new unit    expense associated   activities  2015    execution lilypad   yet secured  funding   lilypad staff members  working  volunteers"
"474019721 2016"," fee  service offerings  designed  support homeowners  moving forward  accessory dwelling unit  junior accessory dwelling unit jadu projects onsite feasibility assessments  homes outside  marin county   design  units  marin sonoma  napa counties generate consulting revenue  also teach classes   fee  community colleges  adult education programs"
"474019721 2017","  flexible housing program  advocate  zoning code changes related  accessory dwelling units educate homeowners  others   wide-ranging benefits  facilitate  creation  units  providing support directly  homeowners accessory dwelling units adus play  important role   creation  housing    affordable   homeowners  renters  put particular emphasis  junior accessory dwelling units jadus  new housing model  makes possible  creation   affordable housing  repurposing existing bedrooms  private apartments  can  offered  rent  used  caregivers  family members   urging municipalities  created simple  inexpensive permitting tracks   junior accessory dwelling units  agency fees   reduced  eliminated   flexible housing program  educate policy makers  associated agencies nonprofit leaders working  affordable housing sustainability senior  women's issues business leaders focused  economic growth  security  financial community   public including  homeowners  renters   importance  adus   clear benefits  2017  spoke  hundreds  people via meetings presentations  information fairs  educated many    website grant funding allows us  offer free phone consultations  homeowners   considering  creation   rental unit"
"474019904 2016","serves   key conduit  develop community participation   broad range  activities utilizing books exhibitions  artistic works  community activities"
"474035566 2017","donated school supplies  needy children  poor city"
"474038116 2016","women veterans united committee inc   non-profit corporation  shall  operated exclusively  educational  charitable purposes within  meaning  section 501_c_3   interal revenue code  1986   corresponbding section   future federal tax code"
"474042019 2016"," organization provides financial support  medical first responders educational services   field  medical first response  expertise  traning  medical first response"
"474042132 2016","see attachment 2"
"474044698 2017","n "
"474047378 2017","payment  medically assisted treatment  opioid dependency  patients   indigent   insured"
"474048626 2017"," improve  treatment quality  life   long term outlook  children  adults living  hyper igm  research support education  advocacy"
"474052742 2016","incorporated  obtain 501 3 c status"
"474053354 2017","provided financial support  school activities"
"474063596 2016"," provided medical  health outreach supplies  disaster victims  poor  needy children   families  also provided storage  shelter  food  medical supplies"
"474064583 2017","help build  play area"
"474078353 2016"," 14th factory   monumental multiple-media socially engaged art  documentary experience conceived   hong kong-based british artist simon birch taking  three acres   empty industrial warehouse  lot   outskirts  downtown los angeles  location   transformed   factory  birch   20 creative collaborators work  manufacture  art creating  ever-changing immersive environment  14 interlinked spaces comprised  video installation sculpture paintings  performance.in entering  14th factory  visitor  transformed   central player   collaboratively fabricated adventure  motion picture  engages  unfolds uniting individuals   creative process      experience challenges  current political climate  celebrating creative diversity unity   act  overcoming obstacles  challenges   global society.the 14th factory   space   residents   lincoln heights neighborhood  la  invited  come  experience art   new way  residents   neighborhood  well   students   schools  la  invited  experience  project free  charge  meet simon birch   guided    14th factory  project believes   importance  sharing art  communities   underserved    mission  create large-scale contemporary art experiences  act  vehicles  social impact"
"474084724 2017","  fiscal year ending december 31 2017 activities  primarily  obtain funding  construct  facility needed  perform program service activities"
"474084724 2016"," organization  created  2015   fiscal year ending december 31 2016 activities  primarily  obtain funding  construct  facility needed  perform program service activities"
"474092232 2015"," organizations purpose   provide education  safety helmets  children  can  afford "
"474095548 2015"," develop philanthropic support   champaign county convention  visitors bureau"
"474095779 2017","cure cf hosts  event called craft louisville   purpose  raising funds  donate  cystic fibrosis research  also participates  smaller events  raise smaller totals  money  used  research"
"474096593 2017","privided medical long-term shelter  hospice care  18 little dogs   poor candidates  quick adoption   shelters due  medical  behavioral problems"
"474096593 2016","  dedicated  supporting  little dogs  shelters    need  medical  behavioral assistance  process   two-fold benefit  provides immediate relief   dog  allows  shelter  divert time  resources   animals hld provides medical care comfort love   safe haven  dogs  need  upon rescue  immediately     animals vetted hld never determines  outcome  diagnosis  relies   skilled trained  excellent dvm's   minor  treatable medical needs  disabilities  placed   loving care  fosters    adopted   serious medically challenged rescues  placed  loving hospice long term foster care   given  place   hld mother house   long  needed"
"474098581 2015","donated funds   chicago food despository   ferrer foundation"
"474098581 2016"," organization hosted  annual back  school block party  event  sponsored  13 chicago area companies approximately 700 children  families obtained free services  materials   teeth cleaning health screenings  school supplies  included 335 book bags food games  entertainment  also provided"
"474101744 2016"," expenses  incurred   care   placement  animals taken    county dog warden  dropped    public"
"474107414 2017"," organization  provided veterinary services  abused  neglected animals   rescued"
"474107414 2016"," organization  provided  fostering program  care  dog  seeking  permanent home"
"474112110 2015"," playing field opened  9 8 15  ended  first fiscal year  8 31 2016   first year  operation  playing field created quality environments  substantial efforts made  improving  indoor  outdoor spaces another focus  year one   hiring  training  quality teachers extensive effort went  professional development  playing field licensed  22 children  september  2015  16   spots  reserved  children funded   early head start grant"
"474112110 2016","  second year  operations  playing field expanded  licensed capacity  22  40 children two additional classrooms opened   fall  2016  16 enrollment spaces  reserved  children funded   early head start grant  maintain  enrollment  children  lost ehs funding  age three  focused  raising scholarship funds"
"474119093 2015"," organization  formed  may 15 2015    conduct  operations   remainder   calendar year  2015"
"474119093 2017"," organization  formed  2015  donations  made  pursuit   goals  outlined  mission statements  shown  schedule o"
"474126367 2017","none  2016  funds  became available   year.in 2017 management  continuing  efforts  seek managers  candidates   progam"
"474126367 2016","none  2016  funds  became available   year"
"474128221 2017","supporting partnerships  anti-racist communities sparc   initiative   bassuk center  partnership   center  social innovation  support  oak foundation  others sparc   multi-city initiative  conducts research holds public discussions  forums provides training  technical assistance  collaborates  leadership  housing health care educational  criminal justice systems"
"474133944 2015","held taste   gulf event  new orleans la providing samples   dish using red porgy  lesser-known gulf  mexico fish species typically caught   bycatch   popular species   red snapper"
"474134920 2016"," 2016 mission rebuild nepal continued  work   rebuilding project  sipapokhare vdc sindhupalchowk nepal  far   delivered 800 transitional houses   families   displaced  two massive earthquakes  nepal  2015"
"474146839 2016","child care  educational assistance"
"474160815 2017","started religious activities   building purchased  2017"
"474165079 2016","community donations  program support"
"474165470 2017","helping doctors medical database subscriptions  russian hospitals books guides  manuals  russian doctors international conferences including participations   american  european doctors  workshops  russia"
"474173416 2016","2016 program service accomplishments include optime 5k goliath obstacle course  glow run"
"474174935 2017","solar eclipse"
"474177498 2015","recreation sport club"
"474201708 2017","certified music practitioners visit patients  play music    provide live therapeutic music  aid  comfort   recovery"
"474223169 2017","maintain  museum"
"474226180 2016","nazareno church"
"474229427 2015"," organization's 1st exempt purpose   provide  highest standards  good sportsmanship social behavior  well  maintain  competitive softball program  girls  meet required qualifications  age specifications  10u 12u 14u 16u  18u teams  promote healthy relationships  players  families opponents  others  may come  contact   mt pleasant drillers"
"474229427 2016"," organization's 1st exempt purpose   provide  highest standards  good sportsmanship social behavior  well  maintain  competitive softball program   girls  boys  meet required qualifications  age specifications  10u 12u 14u 16u  18u teams  promote healthy relationships  players  families opponents  others  may come  contact   mt pleasant drillers"
"474229560 2016","improve  city  east liverpool  improvements  future residents   city  increase city reputation  developing  economic  property revitalization partnership"
"474232067 2017"," remove  financial barriers  parents family members  community members   cost  participation  programs  promote well "
"474239397 2016","donations  charitable organizations"
"474241214 2016","honor flights  take veterans  texas panhandle  washington dc"
"474241576 2016"," distribute charitable contributions  indigent families"
"474243616 2015","answered fire calls"
"474263188 2017","support jewish education"
"474267908 2016"," encourage promote  support  cedaredge high school music program   benefit   students"
"474298507 2015","rift valley wildlife clinics  dedicated  improving  welfare  domestic animals wildlife   environment  veterinary care education  conservation efforts rvwc provides veterinary care  rural areas  east africa outside   large natural parks primarily  feral dogs  cats rvwc also provides veterinary care  wildlife  domestic pets  indigent people   state  new york  association   humane society  new york   wildlife bird fund"
"474298532 2017","trails2prevention raises funds  coordinate specific targeted drug prevention education events  hosting family day hikes  similar events  promote healthy family fun"
"474298532 2015","trails2prevention raises funds  coordinte specific targeted drug prevention education events  hosting family day hikes  similar events  promote healthy family fun"
"474306428 2017","martial arts training overhead expenses"
"474315874 2016","promotion  multi-modal active transportation health  wellness  harlingen  surrounding low-income areas  camerone county"
"474320971 2017"," corporation's preserved military artifacts   enhance  local economic  educational development  also fosters  appreciation    military"
"474326433 2016"," providing  network  groomed trails maps  signs north shore nordic association encourages  facilitates active living  exploration   outdoors  winter  specific objectives  purpose   organization shall  1  provide groomed ski trails   north shore  massachusetts 2  increase visibility  appeal  nordic skiing  area residents 3  increase  number  people nordic skiing   number  days people  skiing 4  promote  sport  nordic skiing since  inception  november  2015   o raised  57,000  corporate sponsors grants  individual donors o purchased  groomer snowmobile  trailer o secured insurance policies  cover  aspects   grooming operation o groomed trails  bradley palmer state park appleton farms  grass rides pingree school pingree woodland  patton park o partnered  dcr greenbelt  ecta  fund trail restoration  recruit community volunteers  trail work days o developed  website  social media presence  provide   date grooming reports post volunteer events  support fundraising activities   third ski season   great ambitions  get  people    trails  skis  snowshoes planned activities include o volunteer appreciation event o ski tuning  wax clinic o moonlight ski event"
"474333365 2016","teach women  africa   bake start  bakery  prepare food   families  community"
"474337807 2017"," entity  established  raise funds  provide golf instruction  equipment  local youngsters   otherwise    chance  learn   participate   game  golf"
"474353630 2017"," provide oversight encouragement  collaboration  impact 100 communities"
"474354454 2015","promoting soccer referee programs"
"474364468 2016","education awarded 2 grants  various organizations conducting educational training  stem programs etc"
"474364468 2017","education awarded 19 grants  various organizations conducting educational training  stem programs etc"
"474366487 2015","funding confidential counseling  officers  need"
"474366487 2017","helping officers families  need financially  medical  funeral expenses"
"474366487 2016","training officers police departments    deal  cumulative stress"
"474368843 2017","providing community service  social  educational.providing food  clothing   benefit  poor  needy"
"474370077 2017","352walls"
"474386830 2016"," dog rescue   saved 741 dogs since  non-profit status  2015 approximately 900 animals   rescued   gotten needed veterinary care  training outcomes include  estimate  96 placed  foster permanent homes"
"474386830 2017"," dog rescue   saved 1,918 dogs since  non-profit status  2015 approxiamately 96   rescues find permanent homes  foster  adoption  2017  rescue helped  rescues   path  hurricane harvey  made room   animals  needed rescue  south texas"
"474396234 2016","red rock warbirds inc strives  collect  maintain  variety  aircrafts   objects related  aviation  aircraft   objects  put  display   public  educational  entertainment purposes"
"474407866 2017","save st james  great provided  funding  operate st james  great episcopal church    cut    church property  church funds  paid clergy rented space  equipment bought supplies  paid musicians   st james  great episcopal church  fulfill  mission"
"474407866 2015","save st james  great provided  funding  operate st james  great episcopal church    cut    church property  church funds  paid clergy rented space  equipment bought supplies paid musicians   st james  great episcopal church  fulfill  mission"
"474421482 2016"," little rock rangers strive  improve soccer   greater central arkansas area  bringing  top quality players  coaches  organization also organizes local state  national soccer tournaments"
"474423393 2017","intensive academic summer learning program"
"474427793 2016","evolution school sanitation program"
"474427793 2017","evolution school sanitation project"
"474428693 2015","provide snowmobile trails  green lake waushara  winebago counties  wisconsin"
"474434366 2015","raised 65,536  fundraising event  rescued treated fed  rehomed hundreds  dogs"
"474436596 2016"," women's  cappella association produces  shesings vocal festival"
"474457061 2015","expanded services  vendors   sole purpose  training  educating 6 individuala  businss  labor"
"474457900 2016","none"
"474461752 2017","helped parents along  disabled childred  better take care  emotional educational  social needs   children.we   glad  report   objective   mission  achieved successfully"
"474464554 2015"," sponsor education programs"
"474469639 2017"," spook hollow fundraiser   annual community event involving  haunted house primarily aimed  entertaining local children  families"
"474469639 2016"," year  board elects  donate funds  support local organizations  2016 12,899  cash  property  donated   pekin  marquette heights police  firefighters departments  north pekin school district  various  local groups  need"
"474476549 2015"," disburse contributions  various religious  charitable ministry services  approved   board  directors"
"474476644 2017","providing assisted care assistance  qualified individuals"
"474485250 2016","providing safe housing  support staff"
"474492798 2017","rescued fostered   placed  adoption dogs"
"474494226 2016","conducted  fifty press events  media interview   last quarter  2016 alone news stores   cair-ma  mentioned reached  1.5 million local viewers"
"474494822 2015","organized  hosted honarable prime minister  india shri narendra modi  usa"
"474497039 2016","opera programs  special musical events"
"474497039 2017","opera programs  special musical events"
"474503685 2017"," cedar stars academy usa corp provides training  competitive opportunities  soccer  boys  girls ages 5  18  promote youth soccer   state  new jersey  education advanced competition recreation  social interaction"
"474512552 2016","received revenues  various merchants  performing dragon dances   vietnamese's new year festivals organizing summer camps winter camps training camps  train youths   future leaders  also educating   vietnamese culture  vietnamese buddhism"
"474528787 2017","eliminating  mistreatment  needless killing  animals  rescuing spaying neutering fostering  rehoming animals  need"
"474531107 2016","helping adults obtain  ged   gain  skills necessary  pass  ged exam  receive  maryland state high school diploma"
"474533365 2016"," animal debt project inc adp rescues dogs scheduled  euthanization provides medical services  needed rehabilitates  facilitates adoptions  reference checks home visits  follow-up visits adp also provides hospice services  2016 218 dogs  rescued   approximately 165  either adopted  transferred   rescue partner adp carried 47 dogs  2017"
"474540279 2017",""
"474540775 2017","ta worked  approximately 45 extant not-for-profit organizations   year  services included strategic planning board retreat facilitation board  directors training irs form 990 completion state audit representation irs audit defense revoked 501c3 status reinstatement mediation internal controls  financial analyses quickbooks training sales  use tax refunds charitable solicitation licensing contract drafting relocation  headquarters assumed name registrations trade service mark registrations  "
"474544148 2016","selfless love foundation  dedicated  making  difference   lives  former foster youth  providing resources  support   bright future bridging  gap  dependence  independence    proud   progress   made   first year  selfless love foundation partnering  acclaimed children's harbor foundation  created brown's harbor  pembroke pines brown's harbor   supportive housing program designed  assist former foster youth ages 18-23  developing skills  resources  promote independence currently   proud  house 24 former foster youth  8   children   community get togethers educational workshops  well  celebrating holidays together  meals   family additionally  created brown's boutique  receives donated clothing    place  residents can fell good  visiting  find second-hand clothes"
"474544148 2017","brown's harborvision  bridge  gap  dependence  independence  youth transitioning    foster care system.need youth aging    foster care system   faring well across  number  domains research done  chapin hall shows   age 23 30  lived  five   places since exiting foster care 24  experienced homelessness  16   males   study  incarcerated  concerning 66   young women  50   young men reported     least one child.strategic partnership  2015 selfless love foundation partnered  children's harbor  nationally accredited nonprofit child welfare agency  broward county florida  address  needs  former foster care youth  creating brown's harbor initiative brown's harbor located   howard c forman campus  pembroke pines   supportive housing program  youth transitioning  foster care ages 18  23 youth living  brown's harbor  on-site support  guidance ongoing workshops encouragement   importantly  given  tools  resources  lead  successful life.impact 3 ways selfless love foundation  improving  lives  former foster youth  brown's harbor 1 create  family-like environment  youth2 inspire youth  reach educational vocational goals3 guide development  independent living skillsbrown's harbor outcomes:after  first year  operating  brown's harbor program19   22 attending school high school vocational college15   22 obtained driver's license   driver's permit15   22 employed part  fulltimequote  youth living  brown's harbor prepares us   future  gives us wonderful opportunities  better   know    lot  learning    living  brown's harbor gives   chance  grow  offer  many unique opportunities    get anywhere else"
"474547136 2016"," al rahba school  syrian refugees education enhancement program  established  2016  coordination   white hands association  local charity  jordan  program  set    converted building  rural northeast jordan  hosts  100 students ages 6-14  attending  program students    access  education  program employs local jordanian part-time staff including 6 teachers  bus driver two librarians   support staff   local charity classes include arabic math science  english  small library  art room  set   provide additional enhancement programs  art reading  music"
"474559150 2017"," provide flights  attend wwii memorial  washington dc   wwii veterans"
"474564599 2015"," voice nuestra voz ovnv   parent advocacy organization  builds  capacity  latino parents  new orleans  advocates  ensure   children  new orleans  access   great school   part  ovnv latino families learn  understand  educational system  new orleans  trained  navigate   organize  make changes   system  order  increase educational outcomes   children"
"474565769 2017","kodi made  decision  speak   attend  conferences  2017   addition  ces  google summer  code mentors summit   sflc fall conference team members went  embedded linux conference usa  eu  open source leadership summit microsoft build videolan dev days product camp  "
"474565769 2016","kodi organizes  pays   kodi developers conference every year expenses include paying  travel room  board  conference space  upwards  35  40 individuals  4 days"
"474568537 2017","rescue  rehab cavalier king charles spaniels 112 dogs rescued including 5 shelter pulls 2 strays 45 owner breeder surrenders  60 rescued   commercial puppy mill industry thus preventing euthanasia  reducing shelter burdens"
"474583509 2017","provided safe  comfortable living arrangements care  training conducive  promoting  development   independent living  productive activities among  young adults  disabilities living   home managed  asls inc"
"474585087 2017"," mission   port arthur education foundation   enhance academic excellence  port arthur schools  supporting innovative educational projects"
"474587469 2015","travel expenses  veterans  visit war memorials  monuments"
"474590805 2016","promote marion iowa history"
"474600307 2015","local youth flag football program  boys  girls ages 5-14 focusing less  wins  losses     fundamentals   game   childs opportunity  acheive health benefits  sports  fitness games  played  local parks  schools"
"474600595 2016"," creation  jobs  men  women   erection  industrial buildings  new industries"
"474601571 2016","fund raisers raffles  pools"
"474603558 2016"," tibetan gallery studio   working studio  tibetan master artist tashi dhargyal   opens  limited hours   public weekly.visitors can view tashi working  thangka traditional buddhist scroll paintings tashi  one    masters   west working entirely   traditional tibetan method  includes hand-prepared canvas hand ground mineral pigments  24k gold.tashis studio   barlow  become home    unique project  first thanbochi painted   tibetan outside  tibet     auspicious endeavor  north america  thanbochi    large thangka   shown  special prayer ceremonies  brings blessings    see   massive undertaking"
"474614892 2016","educational servicesto provide educational services  kindergarten  grade 12  enable students  achieve greater level  excellence   education  strategy   integrate meaningful community service enrich learning experience teach civic responsiblity  strengthen communities"
"474622438 2017","acquired  deposited reef material   gulf  mexico creating fish habitat"
"474627874 2016","acquisition  maintenance  property   used  economic  community development   purpose  developing job opportunities  citizens  gainesville mo   surrounding community"
"474628439 2017","using chip grant funds garden city housing team  able  repair  revitalize 4 houses  needed extensive work  provided safe  secure residences   home owners  addition improvements   enhance  homeowners house  rejuvenate  neighborhood  town   whole"
"474632417 2017"," organization rescued  placed  1,200 animals since inception  fully vaccinated    dogs  provided proper vet care including   limited  spay neutering  microchipping additionally  organization helps families   community  spay  neutering  may   able  afford  procedures"
"474632417 2016"," rescued  placed 586  2016  fully vaccinated   dogs  provided proper vet care including spay neuter  microchipping additionally  help families   community  spay neuter  may   able  afford  procedure"
"474633341 2017","purchased  facility  house  counseling services  persons thathave  sexually exploited   manner"
"474637792 2017","deployment  reef balls   development  artificial reefs"
"474639529 2015","krishnadham usa's mission   foster  richness  hindu cultural heritage  imparting  values  love wisdom  devotion  future generations  provide  platform  learning   sharing  experiences  values   society  large"
"474641570 2016","church empowerment empowering local churches  uganda  rwanda  facilities resources  programming initatives"
"474641570 2017","immersion trips  2017  built  guest house  uganda  also helped provide immersion trip experiences  21 people  trips  geared towards mutual change  placing relationships   center     relationships change      way  see  world  goal   participants  go home changed  also challenge members  think    relationships   made will change  way  live   areas   life   travel will  confronted   radically different lifestyle"
"474648805 2016","preaching  teaching  spiritual content"
"474649792 2015"," raised money  build  infrastructure  give vets transportation   va appts"
"474662869 2015","fly events"
"474662869 2017","social events"
"474669627 2017","ballroom dance instructions  schools nursing homes etc"
"474688550 2017","coaching  promoting amateur soccer   area including team play fundamentals sportsmanship etc"
"474691352 2015"," digital asset institute    process  forming  organization    significant revenue  expenses  2015"
"474696006 2016"," promote charitable organizations  benefit conservation   environment wildlife  fish habitat"
"474696006 2017"," promote charitable organizations  benefit conservation   environment wildlife  fish habitat"
"474698061 2017"," organization  accumulating funds   acquisition  land facility   used  benefit mentally disadvantaged adults"
"474707047 2015","opiate addiction  substance abuse recovery services"
"474710502 2015","providing pregnant  parenting women  place   loving community focused   emotional physical  spiritual growth  eqwup   skills  resources needed  move forward  life  newfound hope"
"474716706 2015"," provide support teaching supplies  equipment   mcallister elementary school thru fundraising activities  memberships"
"474718416 2017"," lisa colagrossi foundation guides individuals   families along  path  better health  innovative awareness  education programs  brain aneurysms  lisa colagrossi foundation conducted  number  national media interviews addressing  classic warning signs risk factors  segments   risk  launched  industry's  first public service announcement  homes across  u.s  educate  general public  brain aneurysms  seek medical attention prior  rupture  lisa colagrossi foundation   credited  saving  lives  brain aneurysms    organization   industry"
"474722285 2017","provided room  board  40 participants.all participants  sucessful  obtaining employement.changed locations  expanded  housing facility"
"474722286 2015","blank"
"474725909 2017","programs include ding shaoguang lecture title art life  april8 2017 also   san diego culture tour  10 25 2017   community service day  12 09 2017 event title consumer protection seminars"
"474727620 2017"," 2017   program 2,091 dogs  cats  adopted"
"474727620 2016"," 2016 839 adult canines 379 puppies  253 felines  transferred   program   program 1,099 dogs  251 cats  adopted  year-end"
"474727706 2015"," foundation dedicated  empower orphan  foster kids  providing educational grants  helps kids complete high school  college education successfully  addition  support boarding lodging   needs   kids focus  education  play   successful  productive life"
"474730758 2016"," pto supports  educational program  madison station elementary  purchasing educational equipment supplies computers  capital improvements"
"474730758 2015"," pto supports  educational program  madison station elementary  purchasing playground equipment"
"474744612 2016","provide  platform  families  want  children  study core academic subjects  well  arabic  quranic studies"
"474750390 2017","provide scholarship funding  drug-free proven brain performance programs"
"474750707 2017","young muslim"
"474762705 2015","work directly  local animal shelters  help adopt animals  forever homes"
"474767770 2016","vlada's seed  life organized monthly events  various locations   community  purpose   events   bring families friends  neighbors back   kitchen   dining table   done  exemplify  mission statement  overall sense  togetherness  community.donations  4,500 received  kohl's department store  4,400 received   community  used  support  mission    funds  spent  supplies   events   excess funds used  increase  quality   filming  editing    can achieve  ultimate goal      episodes accepted  aired  pbs"
"474767770 2015"," organizations  produced video demonstrating  supporting  goal educating families  families   cook  leave healthier lives  videos  made available totv stations libraries  schools"
"474769645 2016","inspiring  compassionate world  farmed animals    farm animal sanctuary  connects community  compassion luvin arms   place  refuge  abused  neglected farm animals  work  inspire  community  think differently  promote   compassionate lifestyle  education  outreach programs.we  driven  compassion freedom trust community love peach   holistic way  life"
"474771952 2016"," organization held  gathering  national solemn assembly  september 21,2016   morning event  40 christian leaders prayed   challenged hundreds  pastors  lay leaders   attendance  exhorted  lead  flocks according   great commission  make disciples  jesus christ  evening  open   public  attended  thousands   challenged  grow  become  apply scripture   daily lives    event  carried live  daystar"
"474773005 2017","stand  life engages  life discussion   telling  individual stories  social media  engages  issues deeply empathizes   struggling creates genuine community  offers  better solution"
"474780713 2015","provide mental healthcare  crisis response  30 military personnel"
"474782701 2016","vision  support east africa specifically burundi  serve  poor  needy  water wells  development support especially  partnership  churches   region burundi   lowest per capita gdp  2015 according   world bank political  ethnic conflict    negative impact   social  economic development   region think east africa  working  provide  basic need  water  efficiently  possible   people  burundi  2016  completed constrution training  maintenance  105 previous water wells completed construction  15 new water wells  started construction  33 new water wells   implemented  maintenance program  provide training parts  support  sustain new  previously constructed wells grants  provided  support african revival ministries minsitries   region along  grants  suppport  cries   child's children's homes  clinic  bukeye  team also translated farming god's way  kirundi  use  burundi  provide education  sustainable farming practices"
"474790094 2017","educational conferences speakers outreach  giving initiatives"
"474798338 2016","fresno county animal control services"
"474799181 2015","credit processing support accomplished   dana hills hs performing arts program"
"474803090 2016"," provide social services  various community groups including advocating mental health  community education  career development workshops  organization facilitates interventions  responses  crisis situations   community brought   disasters  tragic events  includes  1  1 program  strives  provide every student   targeted served communities   laptop computer"
"474812788 2016","promote public awareness activities  education  support  preserving wildlands  ecosystems  specifically near urban areas"
"474822008 2016","provided monies  bartlesville playground per objectives  new seating major renovations major maintenance  repairs  rides etc"
"474826706 2016","mission work  trips  program  become  largest   organization three mission teams  sent   total  41 people  first group   sent    group  12 members consisting   medical team  doctors  nurses   trip  held three medical clinics one    held   partner school  800 kids  seen   three clinics  second group   sent  sports athletes  different colleges across  nation   20 people   trip  helped complete  track  basketball court project  also held  sporting camp   kids   school consisting   275 kids teaching    incorporate jesus   sports activities  last group   local church  sent   november  mission   hold  vocational bible school   children   partner school games  played   kids  different bible stories  taught   children"
"474826706 2015","sponsorships simba educational ministries  partnered   christ centered school  kenya  provide children  sponsorship  go  school   helped 96 children go  school  get  education fed  housed  children  educated  jesus christ   center"
"474826706 2017","building projects  third largest project   acquisition  5 acres  land  will  used  build  house  zion    transition home  children   coming   streets  will go  rehab     home  land will also  used   dairy cows  purchased  will give   residence   permit    legal documentation  receive  land  simbas non-governmental organization    filed    kenyan government"
"474836437 2016","provide educational services   privileged students"
"474839850 2016","financial  educational resources  personal assistance  mpn patients"
"474844852 2015"," wraparound program enables families  time money  resources   avenues   life  help get     crisis   making  dependent   state systems  program walks       self-sufficiency  values associated  wraparound require  theplanning process   well   services  supports provided   individualized family driven culturally competent  community based additionally  wraparound process  increase  natural support available   family  strengthening interpersonal relationships  utilizing otherresources   available   familys network  social  community relationships finally  wraparound process   strengths based including activities  purposefully help  child  family  recognize utilize  build talents assets  positive capacities"
"474845564 2017"," devise promote  sponsor periodic  annual activities  festivals   city  salisbury  bring together city residents  well  residents  nearby communities  enjoy  experience  artistic achievements  talented artisans resident musicians  entertainers"
